자치구,평균_월세(만원)
강남구,88
강동구,42
강북구,44
강서구,36
관악구,37
광진구,67
구로구,36
금천구,62
노원구,58
도봉구,58
동대문구,39
동작구,50
마포구,67
서대문구,46
서초구,93
성동구,55
성북구,55
송파구,55
양천구,55
영등포구,55
용산구,55
은평구,55
종로구,55
중구,55
중랑구,55
